"Date","Related","Document Title"
1861-10-04,"Abraham Lincoln","Executive Order"
1861-10-14,"Abraham Lincoln","Executive Order—Suspension of the Writ of Habeas Corpus"
1861-11-01,"Abraham Lincoln","Executive Order—General Orders No. 94: Retiring General Winfield Scott and Appointing General George B. McClellan His Successor"
1861-11-05,"Abraham Lincoln","Executive Order—Approving the Plan of the Governor of Missouri"
1861-11-07,"Abraham Lincoln","Executive Order"
1861-11-16,"Abraham Lincoln","Executive Order"
1861-11-27,"Abraham Lincoln","Executive Order"
1861-12-02,"Abraham Lincoln","Executive Order—Authorizing General H.W. Halleck To Suspend the Writ of Habeas Corpus"
1861-12-30,"Abraham Lincoln","Executive Order"
1862-01-22,"Abraham Lincoln","Executive Order"
1862-01-27,"Abraham Lincoln","Executive Order—General War Order No. 1"
1862-01-31,"Abraham Lincoln","Executive Order—Special War Order No. 1"
1862-02-11,"Abraham Lincoln","Executive Order"
1862-02-13,"Abraham Lincoln","Executive Order"
1862-02-14,"Abraham Lincoln","Executive Order No. 1—Relating to Political Prisoners"
1862-02-18,"Abraham Lincoln","Executive Order"
1862-02-18,"Abraham Lincoln","Executive Order"
1862-02-18,"Abraham Lincoln","Executive Order"
1862-02-18,"Abraham Lincoln","Executive Order"
1862-02-25,"Abraham Lincoln","Executive Order—Taking into Military Possession all Telegraph Lines in the United States"
1862-02-27,"Abraham Lincoln","Executive Order No. 2—State Prisoners"
1862-02-28,"Abraham Lincoln","Executive Order—Commercial Intercourse"
1862-03-08,"Abraham Lincoln","Executive Order—President's General War Order No. 2"
1862-03-08,"Abraham Lincoln","Executive Order—President's General War Order No. 3"
1862-03-11,"Abraham Lincoln","Executive Order—President's Special War Order No. 3"
1862-03-13,"Abraham Lincoln","Executive Order"
1862-03-15,"Abraham Lincoln","Executive Order"
1862-04-05,"Abraham Lincoln","Executive Order"
1862-05-25,"Abraham Lincoln","Executive Order—Taking Military Possession of Railroads"
1862-05-28,"Abraham Lincoln","Executive Order"
1862-05-30,"Abraham Lincoln","Executive Order"
1862-06-26,"Abraham Lincoln","Order Constituting the Army of Virginia"
1862-06-30,"Abraham Lincoln","Executive Order—Call for Troops"
1862-07-01,"Abraham Lincoln","Executive Order"
1862-07-11,"Abraham Lincoln","Executive Order—Making Henry W. Halleck General-in-Chief"
1862-07-11,"Abraham Lincoln","Executive Order—Concerning the Southwest Branch of the Pacific Railroad"
1862-07-21,"Abraham Lincoln","Executive Order—In Regard to Behavior of Aliens"
1862-07-22,"Abraham Lincoln","Executive Order—Authorizing Employment of ""Contrabands"""
1862-07-25,"Abraham Lincoln","Executive Order [on the death of Martin van Buren]"
1862-07-31,"Abraham Lincoln","Executive Order"
1862-08-04,"Abraham Lincoln","Executive Order"
1862-08-08,"Abraham Lincoln","Executive Order"
1862-08-14,"Abraham Lincoln","Executive Order"
1862-09-02,"Abraham Lincoln","Executive Order"
1862-09-03,"Abraham Lincoln","Order to General H.W. Halleck"
1862-10-20,"Abraham Lincoln","Executive Order—Establishing a Provisional Court in Louisiana"
1862-10-29,"Abraham Lincoln","Executive Order"
1862-11-05,"Abraham Lincoln","Executive Order—Relieving General G. B. McClellan and Making Other Changes"
1862-11-07,"Abraham Lincoln","Executive Order"
1862-11-12,"Abraham Lincoln","Executive Order—Concerning Blockade"
1862-11-13,"Abraham Lincoln","Executive Order—Concerning the Confiscation Act"
1862-11-15,"Abraham Lincoln","Executive Order—General Order Respecting the Observance of the Sabbath Day in the Army and Navy"
1862-11-21,"Abraham Lincoln","Executive Order—Prohibiting the Export of Arms and Munitions of War"
1862-12-22,"Abraham Lincoln","Executive Order"
1863-01-04,"Abraham Lincoln","Executive Order"
1863-01-08,"Abraham Lincoln","Executive Order"
1863-01-21,"Abraham Lincoln","Executive Order"
1863-01-25,"Abraham Lincoln","General Orders No. 20—Relieving General A.E. Burnside and Making Other Changes"
1863-03-31,"Abraham Lincoln","Executive Order—License of Commercial Intercourse"
1863-06-22,"Abraham Lincoln","Executive Order"
1863-07-04,"Abraham Lincoln","Executive Order"
1863-07-09,"Abraham Lincoln","Executive Order"
1863-07-25,"Abraham Lincoln","Executive Order"
1863-07-30,"Abraham Lincoln","Executive Order—Retaliation"
1863-08-25,"Abraham Lincoln","Executive Order"
1863-08-31,"Abraham Lincoln","Executive Order"
1863-09-04,"Abraham Lincoln","Executive Order—Concerning Commercial Regulations"
1863-09-24,"Abraham Lincoln","Executive Order"
1863-11-10,"Abraham Lincoln","Executive Order—Export of Tobacco Purchased by Foreign Nations"
1863-12-07,"Abraham Lincoln","Executive Order"
1863-12-21,"Abraham Lincoln","Executive Order"
1864-01-09,"Abraham Lincoln","Executive Order"
1864-01-12,"Abraham Lincoln","Executive Order"
1864-01-26,"Abraham Lincoln","Executive Order—Approving Trade Regulations"
1864-02-01,"Abraham Lincoln","Executive Order—Drafting 500,000 Men"
1864-02-01,"Abraham Lincoln","Executive Order—Regarding the Colonization Experiment"
1864-02-26,"Abraham Lincoln","Executive Order—Deserters Death Sentences Remitted"
1864-03-07,"Abraham Lincoln","Executive Order—Exportation of Tobacco Belonging to the French Government"
1864-03-07,"Abraham Lincoln","Executive Order"
1864-03-10,"Abraham Lincoln","Executive Order—Assigning U.S. Grant to the Command of the Armies of the United States"
1864-03-12,"Abraham Lincoln","Executive Order"
1864-03-14,"Abraham Lincoln","Executive Order—Calling for 200,000 Men"
1864-04-02,"Abraham Lincoln","Executive Order"
1864-04-23,"Abraham Lincoln","Executive Order"
1864-05-09,"Abraham Lincoln","Executive Order"
1864-05-18,"Abraham Lincoln","Executive Order—Arrest and Imprisonment of Irresponsible Newspaper Reporters and Editors"
1864-07-18,"Abraham Lincoln","Executive Order"
1864-08-31,"Abraham Lincoln","Executive Order—Concerning Cotton"
1864-09-03,"Abraham Lincoln","Executive Order—Tendering Thanks to Major-General William T. Sherman"
1864-09-03,"Abraham Lincoln","Executive Order"
1864-09-03,"Abraham Lincoln","Executive Order—Tendering Thanks to Admiral Farragut and Major-General Canby"
1864-09-10,"Abraham Lincoln","Executive Order—Thanks to Hundred-Day Troops From Ohio"
1864-09-24,"Abraham Lincoln","Executive Order—Concerning the Purchase of Products in Insurrectionary States"
1864-10-01,"Abraham Lincoln","Executive Order—Returning Thanks to the Volunteers for One Hundred Days From the States of Indiana, Illinois, Iowa, and Wisconsin"
1864-10-12,"Abraham Lincoln","Executive Order"
1864-11-14,"Abraham Lincoln","Executive Order"
1864-12-03,"Abraham Lincoln","Executive Order—Concerning the Steamer ""Funayma Solace"""
1864-12-10,"Abraham Lincoln","Executive Order—Appointing Commissioners to Investigate the Military Division West of the Mississippi"
1864-12-17,"Abraham Lincoln","Executive Order"
1864-12-31,"Abraham Lincoln","Executive Order"
1865-01-20,"Abraham Lincoln","Executive Order"
1865-02-06,"Abraham Lincoln","Executive Order—Establishment of a Board to Make Corrections in the Draft"
1865-02-13,"Abraham Lincoln","Executive Order"
1865-02-21,"Abraham Lincoln","Executive Order"
1865-03-08,"Abraham Lincoln","Executive Order"
1865-03-14,"Abraham Lincoln","Executive Order—Ordering the Arrest and Designation as Prisoners of War All Persons Engaged in Intercourse or Trade with the Insurgents by Sea"
1865-03-27,"Abraham Lincoln","Executive Order—Ordering the Raising of the Flag and Other Commemorations at Fort Sumter"
1865-04-04,"Abraham Lincoln","Executive Order"
1865-04-29,"Andrew Johnson","Executive Order"
1865-04-29,"Andrew Johnson","Executive Order"
1865-05-01,"Andrew Johnson","Executive Order"
1865-05-03,"Andrew Johnson","Executive Order—Rescinding Regulations Prohibiting the Exportation of Arms, Ammunition, Horses, Mules, and Live Stock"
1865-05-04,"Andrew Johnson","Executive Order"
1865-05-06,"Andrew Johnson","Executive Order—Special Orders: 211"
1865-05-07,"Andrew Johnson","Executive Order"
1865-05-09,"Andrew Johnson","Executive Order—Special Orders: 216"
1865-05-09,"Andrew Johnson","Executive Order—To Reestablish the Authority of the United States and Execute the Laws Within the Geographical Limits Known as the State of Virginia"
1865-05-27,"Andrew Johnson","Executive Order"
1865-05-31,"Andrew Johnson","Executive Order"
1865-06-02,"Andrew Johnson","Executive Order—General Orders: 107"
1865-06-02,"Andrew Johnson","Executive Order"
1865-06-02,"Andrew Johnson","Executive Order"
1865-06-06,"Andrew Johnson","Executive Order—General Orders: 109"
1865-06-06,"Andrew Johnson","Executive Order"
1865-06-07,"Andrew Johnson","Executive Order"
1865-06-09,"Andrew Johnson","Executive Order"
1865-07-05,"Andrew Johnson","Executive Order—General Court-Martial Orders: 356"
1865-07-05,"Andrew Johnson","Executive Order"
1865-07-15,"Andrew Johnson","Executive Order"
1865-08-07,"Andrew Johnson","Executive Order"
1865-08-25,"Andrew Johnson","Executive Order"
1865-09-07,"Andrew Johnson","Executive Order"
1865-09-16,"Andrew Johnson","Executive Order—General Orders: 138"
1865-09-19,"Andrew Johnson","Executive Order—Special Orders: 503"
1865-10-09,"Andrew Johnson","Executive Order—General Orders: 145"
1865-10-11,"Andrew Johnson","Executive Order Paroling Alexander H. Stephens and Others"
1865-11-11,"Andrew Johnson","Executive Order"
1865-11-24,"Andrew Johnson","Executive Order—General Orders: 164"
1866-04-07,"Andrew Johnson","Executive Order"
1866-04-13,"Andrew Johnson","Executive Order"
1866-05-01,"Andrew Johnson","Executive Order—General Orders: 26—Order in Relation to Trials by Military Courts and Commissions"
1866-05-29,"Andrew Johnson","Executive Order"
1866-06-05,"Andrew Johnson","Executive Order"
1866-06-18,"Andrew Johnson","Executive Order"
1866-10-26,"Andrew Johnson","Executive Order"
1866-10-30,"Andrew Johnson","Executive Order"
1866-11-01,"Andrew Johnson","Executive Order"
1866-11-02,"Andrew Johnson","Executive Order"
1867-03-11,"Andrew Johnson","Executive Order—General Orders: 10"
1867-03-15,"Andrew Johnson","Executive Order—General Orders: 18"
1867-06-20,"Andrew Johnson","Executive Order"
1867-08-12,"Andrew Johnson","Executive Order—Suspending from Office Edwin M. Stanton as Secretary of War"
1867-08-12,"Andrew Johnson","Executive Order"
1867-08-17,"Andrew Johnson","Executive Order"
1867-08-26,"Andrew Johnson","Executive Order"
1867-08-26,"Andrew Johnson","Executive Order"
1867-09-04,"Andrew Johnson","Executive Order"
1867-12-17,"Andrew Johnson","Executive Order"
1867-12-28,"Andrew Johnson","Executive Order—General Orders: 104"
1868-02-12,"Andrew Johnson","Executive Order—General Orders: 10"
1868-02-21,"Andrew Johnson","Executive Order—Removing Edwin M. Stanton as Secretary of War"
1868-02-21,"Andrew Johnson","Executive Order—Authorizing Lorenzo Thomas to Act as Secretary of War"
1868-03-28,"Andrew Johnson","Executive Order—General Orders: 17"
1868-05-28,"Andrew Johnson","Executive Order"
1868-06-01,"Andrew Johnson","Executive Order"
1868-06-03,"Andrew Johnson","Executive Order—General Orders: 25"
1868-06-03,"Andrew Johnson","Executive Order"
1868-06-30,"Andrew Johnson","Executive Order—General Orders: 33"
1868-07-13,"Andrew Johnson","Executive Order—General Orders: 44"
1868-07-20,"Andrew Johnson","Executive Order 6—Ratification of the Fourteenth Amendment to the United States Constitution"
1868-07-28,"Andrew Johnson","Executive Order—General Orders: 55"
1868-09-12,"Andrew Johnson","Executive Order—Special Orders: 219"
1868-10-10,"Andrew Johnson","Executive Order—General Orders: 82"
1868-11-04,"Andrew Johnson","Executive Order"
1869-03-05,"Ulysses S. Grant","Executive Order"
1869-03-08,"Ulysses S. Grant","Executive Order"
1869-03-09,"Ulysses S. Grant","Executive Order"
1869-03-16,"Ulysses S. Grant","Executive Order"
1869-03-26,"Ulysses S. Grant","Executive Order"
1869-03-31,"Ulysses S. Grant","Executive Order"
1869-06-03,"Ulysses S. Grant","Executive Order"
1869-09-07,"Ulysses S. Grant","Executive Order"
1869-10-09,"Ulysses S. Grant","Executive Order [on the death of Franklin Pierce]"
1869-10-09,"Ulysses S. Grant","Executive Order"
1869-10-19,"Ulysses S. Grant","Executive Order"
1869-12-24,"Ulysses S. Grant","Executive Order"
1869-12-24,"Ulysses S. Grant","Executive Order"
1870-01-04,"Ulysses S. Grant","Executive Order"
1870-01-29,"Ulysses S. Grant","Executive Order"
1870-02-26,"Ulysses S. Grant","Executive Order"
1870-03-31,"Ulysses S. Grant","Executive Order"
1871-03-31,"Ulysses S. Grant","Executive Order"
1872-04-16,"Ulysses S. Grant","Executive Order"
1872-05-27,"Ulysses S. Grant","Executive Order"
1872-10-11,"Ulysses S. Grant","Executive Order"
1873-01-17,"Ulysses S. Grant","Executive Order"
1873-01-28,"Ulysses S. Grant","Executive Order"
1873-03-14,"Ulysses S. Grant","Executive Order"
1873-05-09,"Ulysses S. Grant","Executive Order"
1873-05-21,"Ulysses S. Grant","Executive Order"
1873-08-05,"Ulysses S. Grant","Executive Order"
1873-10-10,"Ulysses S. Grant","Executive Order"
1874-01-23,"Ulysses S. Grant","Executive Order"
1874-03-09,"Ulysses S. Grant","Executive Order [on the death of Millard Fillmore]"
1874-05-27,"Ulysses S. Grant","Executive Order"
1874-05-29,"Ulysses S. Grant","Executive Order"
1874-08-31,"Ulysses S. Grant","Executive Order"
1875-03-09,"Ulysses S. Grant","Executive Order"
1875-03-09,"Ulysses S. Grant","Executive Order"
1875-03-25,"Ulysses S. Grant","Executive Order"
1875-05-24,"Ulysses S. Grant","Executive Order"
1875-07-03,"Ulysses S. Grant","Executive Order"
1875-07-27,"Ulysses S. Grant","Executive Order"
1875-08-02,"Ulysses S. Grant","Executive Order [on death of Andrew Johnson]"
1875-08-02,"Ulysses S. Grant","Executive Order"
1875-08-21,"Ulysses S. Grant","Executive Order"
1875-11-22,"Ulysses S. Grant","Executive Order"
1875-11-23,"Ulysses S. Grant","Executive Order"
1876-05-20,"Ulysses S. Grant","Executive Order"
1876-08-10,"Ulysses S. Grant","Executive Order"
1876-11-23,"Ulysses S. Grant","Executive Order"
1877-05-09,"Rutherford B. Hayes","Executive Order"
1877-05-26,"Rutherford B. Hayes","Executive Order"
1877-06-22,"Rutherford B. Hayes","Executive Order"
1877-08-07,"Rutherford B. Hayes","Executive Order"
1877-11-02,"Rutherford B. Hayes","Executive Order"
1877-12-31,"Rutherford B. Hayes","Executive Order"
1878-05-27,"Rutherford B. Hayes","Executive Order"
1879-02-04,"Rutherford B. Hayes","Executive Order"
1879-05-28,"Rutherford B. Hayes","Executive Order"
1880-05-27,"Rutherford B. Hayes","Executive Order"
1881-02-22,"Rutherford B. Hayes","Executive Order"
1881-05-28,"James A. Garfield","Executive Order"
1881-10-19,"Chester A. Arthur","Executive Order"
1882-03-30,"Chester A. Arthur","Executive Order"
1882-05-26,"Chester A. Arthur","Executive Order"
1882-07-13,"Chester A. Arthur","Executive Order"
1883-03-26,"Chester A. Arthur","Executive Order"
1883-04-02,"Chester A. Arthur","Executive Order"
1883-05-07,"Chester A. Arthur","Executive Order"
1883-05-21,"Chester A. Arthur","Executive Order"
1883-10-13,"Chester A. Arthur","Executive Order"
1883-12-05,"Chester A. Arthur","Executive Order"
1883-12-17,"Chester A. Arthur","Executive Order"
1884-01-18,"Chester A. Arthur","Executive Order"
1884-02-08,"Chester A. Arthur","Executive Order"
1884-03-12,"Chester A. Arthur","Executive Order"
1884-04-09,"Chester A. Arthur","Executive Order 22—Establishing a Board to Represent the Executive Departments at the World's Industrial and Cotton Centennial Exhibition"
1884-04-23,"Chester A. Arthur","Executive Order"
1884-04-23,"Chester A. Arthur","Executive Order"
1884-05-13,"Chester A. Arthur","Executive Order"
1884-05-26,"Chester A. Arthur","Executive Order"
1884-06-12,"Chester A. Arthur","Executive Order"
1884-07-08,"Chester A. Arthur","Executive Order"
1884-07-10,"Chester A. Arthur","Executive Order"
1884-07-16,"Chester A. Arthur","Executive Order"
1884-07-18,"Chester A. Arthur","Executive Order"
1884-07-22,"Chester A. Arthur","Executive Order"
1884-09-05,"Chester A. Arthur","Executive Order"
1884-11-10,"Chester A. Arthur","Executive Order"
1884-12-05,"Chester A. Arthur","Executive Order"
1885-01-24,"Chester A. Arthur","Executive Order"
1885-02-11,"Chester A. Arthur","Executive Order"
1885-02-17,"Chester A. Arthur","Executive Order"
1885-02-26,"Chester A. Arthur","Executive Order"
1885-02-27,"Chester A. Arthur","Executive Order"
1885-03-03,"Chester A. Arthur","Executive Order"
1885-03-18,"Grover Cleveland","Executive Order"
1885-04-25,"Grover Cleveland","Executive Order"
1885-05-12,"Grover Cleveland","Executive Order"
1885-05-26,"Grover Cleveland","Executive Order"
1885-06-02,"Grover Cleveland","Executive Order"
1885-06-15,"Grover Cleveland","Executive Order"
1885-07-16,"Grover Cleveland","Executive Order"
1885-07-23,"Grover Cleveland","Executive Order"
1885-07-23,"Grover Cleveland","Executive Order"
1885-07-23,"Grover Cleveland","Executive Order"
1885-08-05,"Grover Cleveland","Executive Order"
1885-08-06,"Grover Cleveland","Executive Order"
1885-09-23,"Grover Cleveland","Executive Order"
1885-10-01,"Grover Cleveland","Executive Order"
1885-10-01,"Grover Cleveland","Executive Order"
1885-10-24,"Grover Cleveland","Executive Order"
1885-10-29,"Grover Cleveland","Executive Order"
1885-11-25,"Grover Cleveland","Executive Order"
1885-11-25,"Grover Cleveland","Executive Order"
1885-11-25,"Grover Cleveland","Executive Order"
1885-11-27,"Grover Cleveland","Executive Order"
1885-11-28,"Grover Cleveland","Executive Order"
1885-12-12,"Grover Cleveland","Executive Order"
1886-02-09,"Grover Cleveland","Executive Order"
1886-04-12,"Grover Cleveland","Executive Order"
1886-05-20,"Grover Cleveland","Executive Order"
1886-07-03,"Grover Cleveland","Executive Order"
1886-07-14,"Grover Cleveland","Executive Order"
1886-08-13,"Grover Cleveland","Executive Order"
1886-11-16,"Grover Cleveland","Executive Order"
1886-11-18,"Grover Cleveland","Executive Order"
1886-11-18,"Grover Cleveland","Executive Order"
1886-11-20,"Grover Cleveland","Executive Order"
1887-01-04,"Grover Cleveland","Executive Order"
1887-01-15,"Grover Cleveland","Executive Order"
1887-04-22,"Grover Cleveland","Executive Order"
1887-04-30,"Grover Cleveland","Executive Order"
1887-05-05,"Grover Cleveland","Executive Order"
1887-05-09,"Grover Cleveland","Executive Order"
1887-05-26,"Grover Cleveland","Executive Order"
1887-05-31,"Grover Cleveland","Executive Order"
1887-06-07,"Grover Cleveland","Executive Order"
1887-06-16,"Grover Cleveland","Executive Order"
1887-08-25,"Grover Cleveland","Executive Order"
1887-10-24,"Grover Cleveland","Executive Order"
1888-02-02,"Grover Cleveland","Executive Order"
1888-03-01,"Grover Cleveland","Executive Order"
1888-03-21,"Grover Cleveland","Executive Order"
1888-03-23,"Grover Cleveland","Executive Order"
1888-05-26,"Grover Cleveland","Executive Order"
1888-06-05,"Grover Cleveland","Executive Order"
1888-06-18,"Grover Cleveland","Executive Order"
1888-07-02,"Grover Cleveland","Executive Order"
1888-07-02,"Grover Cleveland","Executive Order"
1888-08-03,"Grover Cleveland","Executive Order"
1888-08-09,"Grover Cleveland","Executive Order"
1888-08-10,"Grover Cleveland","Executive Order"
1888-08-14,"Grover Cleveland","Executive Order"
1888-08-25,"Grover Cleveland","Executive Order"
1888-10-17,"Grover Cleveland","Executive Order"
1888-11-01,"Grover Cleveland","Executive Order"
1888-11-01,"Grover Cleveland","Executive Order"
1888-11-01,"Grover Cleveland","Executive Order"
1888-11-01,"Grover Cleveland","Executive Order"
1888-11-01,"Grover Cleveland","Executive Order"
1888-11-01,"Grover Cleveland","Executive Order"
1888-11-05,"Grover Cleveland","Executive Order"
1888-11-13,"Grover Cleveland","Executive Order"
1888-12-05,"Grover Cleveland","Executive Order"
1888-12-06,"Grover Cleveland","Executive Order"
1889-01-04,"Grover Cleveland","Executive Order"
1889-01-04,"Grover Cleveland","Executive Order"
1889-02-11,"Grover Cleveland","Executive Order"
1889-02-11,"Grover Cleveland","Executive Order"
1889-02-11,"Grover Cleveland","Executive Order"
1889-02-26,"Grover Cleveland","Executive Order"
1889-03-11,"Benjamin Harrison","Executive Order"
1889-04-17,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1889-04-23,"Benjamin Harrison","Executive Order—Regulations for the Distribution of Arms, Ordinance Stores, Quartermaster's Stores, and Camp Equipage to Territories in the District of Columbia"
1889-05-04,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1889-05-27,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1889-05-29,"Benjamin Harrison","Executive Order"
1889-06-07,"Benjamin Harrison","Executive Order"
1889-06-10,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1889-06-18,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1889-07-26,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1889-07-26,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1889-08-17,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1889-08-20,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1889-10-29,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1889-11-01,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1889-11-18,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1890-01-29,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1890-01-29,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1890-03-10,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1890-03-10,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1890-03-28,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1890-04-24,"Benjamin Harrison","Executive Order"
1890-05-27,"Benjamin Harrison","Executive Order"
1890-05-31,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1890-07-14,"Benjamin Harrison","Executive Order—Death of John C. Fremont"
1890-07-30,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1890-07-30,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1890-09-02,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1890-10-31,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1891-01-19,"Benjamin Harrison","Executive Order—Death of George Bancroft"
1891-01-26,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1891-01-30,"Benjamin Harrison","Executive Order"
1891-02-13,"Benjamin Harrison","Executive Order"
1891-02-14,"Benjamin Harrison","Executive Order"
1891-02-16,"Benjamin Harrison","Executive Order"
1891-02-18,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1891-02-21,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1891-02-26,"Benjamin Harrison","Executive Order"
1891-03-04,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1891-03-16,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1891-04-03,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1891-04-13,"Benjamin Harrison","Executive Order—Civil Service: Classification of Indian Service"
1891-04-13,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1891-05-25,"Benjamin Harrison","Executive Order"
1891-07-06,"Benjamin Harrison","Executive Order—Death of Hannibal Hamlin"
1891-08-06,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1891-10-01,"Benjamin Harrison","Executive Order—Civil Service: Indian Rules"
1891-10-09,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1891-11-24,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1891-12-04,"Benjamin Harrison","Executive Order"
1892-01-12,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1892-01-20,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1892-02-23,"Benjamin Harrison","Executive Order—Amendments of Civil Service Rules"
1892-05-05,"Benjamin Harrison","Executive Order"
1892-05-07,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1892-05-07,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1892-09-16,"Benjamin Harrison","Executive Order"
1892-09-23,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1893-01-05,"Benjamin Harrison","Executive Order—Amendment of Civil Service Rules"
1893-01-18,"Benjamin Harrison","Executive Order—Death of Rutherford B. Hayes"
1893-01-19,"Benjamin Harrison","Executive Order"
1893-01-19,"Benjamin Harrison","Executive Order"
1893-01-27,"Benjamin Harrison","Executive Order—Death of James G. Blaine"
1893-04-12,"Grover Cleveland","Executive Order—Amendment of Civil Service Rules"
1893-05-08,"Grover Cleveland","Executive Order"
1893-05-26,"Grover Cleveland","Executive Order"
1893-06-06,"Grover Cleveland","Executive Order—Amendments of Civil Service Rules"
1893-06-06,"Grover Cleveland","Executive Order—Amendments of Civil Service Rules"
1893-06-16,"Grover Cleveland","Executive Order"
1893-08-19,"Grover Cleveland","Executive Order—Amendments of Civil-Service Rules: United States Civil Service Commission"
1893-12-11,"Grover Cleveland","Executive Order—Civil Service: Revocation of Promotion Regulations"
1894-01-05,"Grover Cleveland","Executive Order—Amendments of Civil Service Rules"
1894-01-05,"Grover Cleveland","Executive Order—Amendment of Civil Service Rules"
1894-01-20,"Grover Cleveland","Executive Order—Civil Service: Withdrawing Fish Culturists From the List of Places to Be Filled By Noncompetitive Examination"
1894-03-06,"Grover Cleveland","Executive Order—Amendment of Civil Service Rules"
1894-03-20,"Grover Cleveland","Executive Order—Amendment of Civil Service Rules"
1894-05-01,"Grover Cleveland","Executive Order—Amendment of Civil Service Rules"
1894-05-11,"Grover Cleveland","Executive Order—Amendments of Civil Service Rules"
1894-05-11,"Grover Cleveland","Executive Order—Civil Service: Amendment of Classification of the Indian Service As Made by the Secretary of the Interior, April 13, 1891"
1894-05-26,"Grover Cleveland","Executive Order"
